itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0077,hvac,Condenser Water Piping,Condenser Water Piping - tee,"Supply and install tee for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0078,hvac,Condenser Water Piping,Condenser Water Piping - reducer concentric,"Supply and install reducer concentric for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0079,hvac,Condenser Water Piping,Condenser Water Piping - reducer eccentric,"Supply and install reducer eccentric for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0080,hvac,Condenser Water Piping,Condenser Water Piping - coupling,"Supply and install coupling for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0081,hvac,Condenser Water Piping,Condenser Water Piping - union,"Supply and install union for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0082,hvac,Condenser Water Piping,Condenser Water Piping - flange,"Supply and install flange for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0083,hvac,Condenser Water Piping,Condenser Water Piping - blind flange,"Supply and install blind flange for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0084,hvac,Condenser Water Piping,Condenser Water Piping - weld neck flange,"Supply and install weld neck flange for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0085,hvac,Condenser Water Piping,Condenser Water Piping - lap joint flange,"Supply and install lap joint flange for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0086,hvac,Condenser Water Piping,Condenser Water Piping - grooved coupling,"Supply and install grooved coupling for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0087,hvac,Condenser Water Piping,Condenser Water Piping - dielectric union,"Supply and install dielectric union for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0088,hvac,Condenser Water Piping,Condenser Water Piping - expansion joint,"Supply and install expansion joint for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0089,hvac,Condenser Water Piping,Condenser Water Piping - flexible hose connector,"Supply and install flexible hose connector for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0090,hvac,Condenser Water Piping,Condenser Water Piping - pipe anchor,"Supply and install pipe anchor for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0091,hvac,Condenser Water Piping,Condenser Water Piping - pipe guide,"Supply and install pipe guide for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0092,hvac,Condenser Water Piping,Condenser Water Piping - pipe sleeve,"Supply and install pipe sleeve for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0093,hvac,Condenser Water Piping,Condenser Water Piping - puddle flange,"Supply and install puddle flange for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0094,hvac,Condenser Water Piping,Condenser Water Piping - wall penetration seal,"Supply and install wall penetration seal for condenser water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0095,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - carbon steel pipe,"Supply, install, joint, support, test and commission carbon steel pipe for dual temperature water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Material: Carbon Steel | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0096,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - stainless steel pipe,"Supply, install, joint, support, test and commission stainless steel pipe for dual temperature water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Grade: ___ | Size: ___ | Schedule: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0097,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - copper tube,"Supply, install, joint, support, test and commission copper tube for dual temperature water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Type: ___ | Size: ___ | Wall Thickness: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0098,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - PPR pipe,"Supply, install, joint, support, test and commission PPR pipe for dual temperature water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0099,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - HDPE pipe,"Supply, install, joint, support, test and commission HDPE pipe for dual temperature water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Size: ___ | SDR: ___ | Pressure Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0100,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - pre-insulated pipe,"Supply, install, joint, support, test and commission pre-insulated pipe for dual temperature water piping, including standard fittings and accessories unless measured separately. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes | Spec: Carrier Pipe: ___ | Size: ___ | Insulation: ___ | Jacket: ___ | Standard: ___",,LM,,,,,,,
HVAC-0101,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - elbow 90 degree,"Supply and install elbow 90 degree for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0102,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - elbow 45 degree,"Supply and install elbow 45 degree for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0103,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - tee,"Supply and install tee for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0104,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - reducer concentric,"Supply and install reducer concentric for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0105,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - reducer eccentric,"Supply and install reducer eccentric for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0106,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - coupling,"Supply and install coupling for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0107,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - union,"Supply and install union for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0108,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - flange,"Supply and install flange for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0109,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - blind flange,"Supply and install blind flange for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0110,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - weld neck flange,"Supply and install weld neck flange for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0111,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - lap joint flange,"Supply and install lap joint flange for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0112,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - grooved coupling,"Supply and install grooved coupling for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0113,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - dielectric union,"Supply and install dielectric union for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0114,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - expansion joint,"Supply and install expansion joint for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0115,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - flexible hose connector,"Supply and install flexible hose connector for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
HVAC-0116,hvac,Dual Temperature Water Piping,Dual Temperature Water Piping - pipe anchor,"Supply and install pipe anchor for dual temperature water piping, complete with joints, gaskets, fasteners and accessories. | MasterFormat: 23 21 13 | OmniClass: 23-27 13 00 Pipes and Tubes / 23-27 15 00 Pipe Fittings | Spec: Size: ___ | Material: ___ | Pressure Rating: ___ | Connection: ___ | Standard: ___",,no.,,,,,,,
